"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"lm-create-case-health","lm-create-case-health","","","",0,*,"","","","null {[]} {[]}
","Dossier de régulation médicale (RS-EDA)","Objet racine du message RS-EDA : dossier de régulation médicale transmis entre partenaires du Hub Santé.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"lm-create-case-health.caseId","lm-create-case-health.caseId","","","",1,1,"","","","string {[]} {[]}
","Identifiant affaire/dossier","Identifiant partagé du dossier, généré par le système créateur. Format : {pays}.{domaine}.{organisation}.{senderCaseId}.","Regexp : ^([a-zA-Z0-9_-]+\.?){4,10}$","","","","","","","","",,,,,"",,,,"lm-create-case-health.caseId",1,1,"",""
"lm-create-case-health.senderCaseId","lm-create-case-health.senderCaseId","","","",0,1,"","","","string {[]} {[]}
","Identifiant local du dossier","Numéro du dossier dans le SI de l'émetteur.","","","","","","","","","",,,,,"",,,,"lm-create-case-health.senderCaseId",0,1,"",""
"lm-create-case-health.creation","lm-create-case-health.creation","","","",1,1,"","","","dateTime {[]} {[]}
","Date/heure de création","Date et heure de création du dossier (avec fuseau horaire, sans indicateur Z).","Regexp : ^\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}[\-+]\d{2}:\d{2}$","","","","","","","","",,,,,"",,,,"lm-create-case-health.creation",1,1,"",""
"lm-create-case-health.perimeter","lm-create-case-health.perimeter","","","",0,1,"","","","code {[]} {[]}
","Filière","Filière du CRRA destinataire à laquelle le dossier doit être adressé.","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/hubsante/ValueSet/vs-perimeter|0.1.0","",,,,"lm-create-case-health.perimeter",0,1,"",""
"lm-create-case-health.interventionType","lm-create-case-health.interventionType","","","",0,1,"","","","code {[]} {[]}
","Type d'intervention","Type d'intervention : primaire ou secondaire.","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/hubsante/ValueSet/vs-intervention-type|0.1.0","",,,,"lm-create-case-health.interventionType",0,1,"",""
"lm-create-case-health.qualification","lm-create-case-health.qualification","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/fhir/hubsante/StructureDefinition/lm-qualification {[]} {[]}
","Qualification","Qualification médicale et opérationnelle du dossier.","","","","","","","","","",,,,,"",,,,"lm-create-case-health.qualification",1,1,"",""
"lm-create-case-health.location","lm-create-case-health.location","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/fhir/hubsante/StructureDefinition/lm-location {[]} {[]}
","Localisation","Localisation de l'intervention.","","","","","","","","","",,,,,"",,,,"lm-create-case-health.location",1,1,"",""
"lm-create-case-health.initialAlert","lm-create-case-health.initialAlert","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/fhir/hubsante/StructureDefinition/lm-alert {[]} {[]}
","Alerte initiale","Alerte initiale reçue par le SAMU.","","","","","","","","","",,,,,"",,,,"lm-create-case-health.initialAlert",0,1,"",""
"lm-create-case-health.owner","lm-create-case-health.owner","","","",1,1,"","","","string {[]} {[]}
","CRRA traitant","Identifiant du CRRA prenant en charge le dossier.","Regexp : ^([a-zA-Z0-9_-]+\.?){4,9}$","","","","","","","","",,,,,"",,,,"lm-create-case-health.owner",1,1,"",""
"lm-create-case-health.patient","lm-create-case-health.patient","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/fhir/hubsante/StructureDefinition/lm-patient {[]} {[]}
","Patient(s)","Patient(s) concerné(s) par le dossier.","","","","","","","","","",,,,,"",,,,"lm-create-case-health.patient",0,*,"",""
"lm-create-case-health.medicalNote","lm-create-case-health.medicalNote","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/fhir/hubsante/StructureDefinition/lm-medical-note {[]} {[]}
","Observation(s) médicale(s)","Observations médicales associées au dossier.","","","","","","","","","",,,,,"",,,,"lm-create-case-health.medicalNote",0,*,"",""
"lm-create-case-health.decision","lm-create-case-health.decision","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/fhir/hubsante/StructureDefinition/lm-decision {[]} {[]}
","Décision(s)","Décisions de régulation médicale prises pour le dossier.","","","","","","","","","",,,,,"",,,,"lm-create-case-health.decision",0,*,"",""
"lm-create-case-health.additionalInformation","lm-create-case-health.additionalInformation","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/fhir/hubsante/StructureDefinition/lm-additional-information {[]} {[]}
","Informations complémentaires","Données complémentaires non structurées (max. 3 entrées clé/valeur).","","","","","","","","","",,,,,"",,,,"lm-create-case-health.additionalInformation",0,1,"",""
