URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/lm-caller","Other"
https://interop.esante.gouv.fr/ig/fhir/hubsante/ValueSet/vs-caller-communication,0.1.0,draft,,VSCallerCommunication,Communication avec l'appelant (Hub Santé),"Qualité ou contrainte de communication avec l'appelant.","StructureDefinition/lm-caller","Internal"
https://interop.esante.gouv.fr/ig/fhir/hubsante/ValueSet/vs-caller-type,0.1.0,draft,,VSCallerType,Type d'appelant (Hub Santé),"Type ou qualité de l'appelant/requérant.","StructureDefinition/lm-caller","Internal"
https://interop.esante.gouv.fr/ig/fhir/hubsante/ValueSet/vs-case-attribution,0.1.0,draft,,VSCaseAttribution,Attribution du dossier (Hub Santé),"Attribution ou orientation du dossier de régulation médicale.","StructureDefinition/lm-case-details","Internal"
https://interop.esante.gouv.fr/ig/fhir/hubsante/ValueSet/vs-case-priority,0.1.0,draft,,VSCasePriority,Priorité du dossier (Hub Santé),"Niveau de priorité du dossier de régulation médicale.","StructureDefinition/lm-case-details","Internal"
https://interop.esante.gouv.fr/ig/fhir/hubsante/ValueSet/vs-case-status,0.1.0,draft,,VSCaseStatus,Statut du dossier (Hub Santé),"Statut du dossier de régulation médicale.","StructureDefinition/lm-case-details","Internal"
https://interop.esante.gouv.fr/ig/fhir/hubsante/ValueSet/vs-contact-channel,0.1.0,draft,,VSContactChannel,Canal de contact (Hub Santé),"Origine du canal établi pour le contact.","StructureDefinition/lm-contact","Internal"
https://interop.esante.gouv.fr/ig/fhir/hubsante/ValueSet/vs-contact-type,0.1.0,draft,,VSContactType,Type de contact (Hub Santé),"Types d'URI utilisés pour les coordonnées de contact.","StructureDefinition/lm-personal-contact,StructureDefinition/lm-contact","Internal"
https://interop.esante.gouv.fr/ig/fhir/hubsante/ValueSet/vs-coord-precision,0.1.0,draft,,VSCoordPrecision,Précision des coordonnées géographiques (Hub Santé),"Niveau de précision des coordonnées géographiques d'un point.","StructureDefinition/lm-coord","Internal"
https://interop.esante.gouv.fr/ig/fhir/hubsante/ValueSet/vs-decision-type,0.1.0,draft,,VSDecisionType,Type de décision médicale (Hub Santé),"Type de décision prise dans le cadre de la régulation médicale.","StructureDefinition/lm-decision","Internal"
https://interop.esante.gouv.fr/ig/fhir/hubsante/ValueSet/vs-external-id-source,0.1.0,draft,,VSExternalIdSource,Source des identifiants externes patient (Hub Santé),"Types d'identifiants externes utilisés pour identifier un patient.","StructureDefinition/lm-external-id","Internal"
https://interop.esante.gouv.fr/ig/fhir/hubsante/ValueSet/vs-external-info-type,0.1.0,draft,,VSExternalInfoType,Type d'information externe (Hub Santé),"Type de la ressource externe référencée pour la localisation.","StructureDefinition/lm-external-info","Internal"
https://interop.esante.gouv.fr/ig/fhir/hubsante/ValueSet/vs-external-location-id-source,0.1.0,draft,,VSExternalLocationIdSource,Source des identifiants de localisation externes (Hub Santé),"Types d'identifiants utilisés pour référencer une localisation externe.","StructureDefinition/lm-external-location-id","Internal"
https://interop.esante.gouv.fr/ig/fhir/hubsante/ValueSet/vs-intervention-type,0.1.0,draft,,VSInterventionType,Type d'intervention (Hub Santé),"Type d'intervention : primaire ou secondaire.","StructureDefinition/lm-create-case-health","Internal"
https://interop.esante.gouv.fr/ig/fhir/hubsante/ValueSet/vs-operator-role,0.1.0,draft,,VSOperatorRole,Rôles des opérateurs (Hub Santé),"Rôles des professionnels de santé opérant au sein de l'entité émettrice d'un message Hub Santé.","StructureDefinition/lm-operator","Internal"
https://interop.esante.gouv.fr/ig/fhir/hubsante/ValueSet/vs-orientation-type,0.1.0,draft,,VSOrientationType,Type d'orientation (Hub Santé),"Type d'orientation décidé à l'issue de la régulation médicale.","StructureDefinition/lm-decision","Internal"
https://interop.esante.gouv.fr/ig/fhir/hubsante/ValueSet/vs-patient-care-level,0.1.0,draft,,VSPatientCareLevel,Niveau de soin du patient (Hub Santé),"Niveaux de soins spécifiques au patient dans le contexte de la régulation médicale.","StructureDefinition/lm-patient-detail,StructureDefinition/lm-case-details","Internal"
https://interop.esante.gouv.fr/ig/fhir/hubsante/ValueSet/vs-perimeter,0.1.0,draft,,VSPerimeter,Filière de régulation (Hub Santé),"Filière du CRRA destinataire à laquelle le dossier doit être adressé.","StructureDefinition/lm-create-case-health","Internal"
https://interop.esante.gouv.fr/ig/fhir/hubsante/ValueSet/vs-qualification-origin,0.1.0,draft,,VSQualificationOrigin,Origine de la qualification (Hub Santé),"Canal ou entité à l'origine de la création du dossier de régulation médicale.","StructureDefinition/lm-qualification","Internal"
https://interop.esante.gouv.fr/ig/fhir/hubsante/ValueSet/vs-resource-type,0.1.0,draft,,VSResourceType,Type de ressource mobilisée (Hub Santé),"Type de ressource mobilisée dans le cadre de la décision de régulation médicale.","StructureDefinition/lm-decision","Internal"
https://interop.esante.gouv.fr/ig/fhir/hubsante/ValueSet/vs-sex,0.1.0,draft,,VSSex,Sexe du patient (Hub Santé),"Codes de sexe du patient.","StructureDefinition/lm-ins-strict-features","Internal"
